Indicator,PUBLISH STATES,Year,WHO region,Country,Age Group,Sex,Display Value,Numeric,Low,High,Comments
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Kiribati,18+  years,Both sexes,29.6 [28.6-30.4],29.6,28.6,30.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Samoa,18+  years,Male,29.9 [29.2-30.7],29.9,29.2,30.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Belize,18+  years,Female,30.2 [28.9-31.6],30.2,28.9,31.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Tonga,18+  years,Male,30.4 [29.6-31.3],30.4,29.6,31.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Micronesia (Federated States of),18+  years,Female,30.8 [30-31.6],30.8,30,31.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Samoa,18+  years,Both sexes,31.4 [30.9-31.9],31.4,30.9,31.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Nauru,18+  years,Male,32.1 [30.9-33.2],32.1,30.9,33.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Samoa,18+  years,Female,33.1 [32.4-33.9],33.1,32.4,33.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Monaco,18+  years,Male,No data,,,,Estimate could not be calculated due to lack of covariate data.
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,San Marino,18+  years,Female,No data,,,,Estimate could not be calculated due to lack of covariate data.
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Ethiopia,18+  years,Male,20.2 [19.3-21],20.2,19.3,21,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Ethiopia,18+  years,Both sexes,20.3 [19.8-20.8],20.3,19.8,20.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Bangladesh,18+  years,Female,20.7 [20.1-21.2],20.7,20.1,21.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Timor-Leste,18+  years,Female,20.7 [19.7-21.7],20.7,19.7,21.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Ethiopia,18+  years,Female,21 [20.1-21.9],21,20.1,21.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Timor-Leste,18+  years,Female,21 [19.9-22.1],21,19.9,22.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Bangladesh,18+  years,Both sexes,21 [20.4-21.6],21,20.4,21.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Madagascar,18+  years,Both sexes,21.1 [20.2-22],21.1,20.2,22,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Timor-Leste,18+  years,Both sexes,21.2 [19.7-22.6],21.2,19.7,22.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Niger,18+  years,Both sexes,21.5 [20.9-22],21.5,20.9,22,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,India,18+  years,Both sexes,21.6 [21.3-21.9],21.6,21.3,21.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Central African Republic,18+  years,Male,21.6 [20.1-23.2],21.6,20.1,23.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Senegal,18+  years,Male,21.8 [21-22.7],21.8,21,22.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Indonesia,18+  years,Male,21.9 [21.3-22.6],21.9,21.3,22.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Lao People's Democratic Republic,18+  years,Male,21.9 [21.1-22.7],21.9,21.1,22.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Burkina Faso,18+  years,Female,22 [21.3-22.7],22,21.3,22.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Cambodia,18+  years,Female,22 [21.2-22.8],22,21.2,22.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Chad,18+  years,Male,22.1 [20.6-23.7],22.1,20.6,23.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Guinea,18+  years,Male,22.1 [20.8-23.5],22.1,20.8,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Central African Republic,18+  years,Both sexes,22.2 [21.3-23.1],22.2,21.3,23.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Guinea-Bissau,18+  years,Male,22.2 [19.9-24.6],22.2,19.9,24.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Mali,18+  years,Male,22.3 [21.1-23.4],22.3,21.1,23.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Botswana,18+  years,Male,22.5 [21.6-23.4],22.5,21.6,23.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Congo,18+  years,Male,22.5 [20.8-24.1],22.5,20.8,24.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Sri Lanka,18+  years,Male,22.5 [21.5-23.6],22.5,21.5,23.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Uganda,18+  years,Female,22.6 [21.8-23.3],22.6,21.8,23.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Kenya,18+  years,Both sexes,22.6 [21.7-23.5],22.6,21.7,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Myanmar,18+  years,Female,22.8 [21.9-23.7],22.8,21.9,23.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Togo,18+  years,Both sexes,22.9 [22.3-23.5],22.9,22.3,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Mauritania,18+  years,Male,23 [21.5-24.4],23,21.5,24.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Republic of Korea,18+  years,Female,23.1 [22.8-23.5],23.1,22.8,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Djibouti,18+  years,Both sexes,23.2 [21.3-25.2],23.2,21.3,25.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Sierra Leone,18+  years,Female,23.3 [22.7-23.9],23.3,22.7,23.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Bhutan,18+  years,Both sexes,23.3 [22.8-23.9],23.3,22.8,23.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Congo,18+  years,Both sexes,23.3 [22.3-24.2],23.3,22.3,24.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Djibouti,18+  years,Both sexes,23.3 [21.3-25.5],23.3,21.3,25.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Sudan,18+  years,Male,23.4 [22.5-24.3],23.4,22.5,24.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Ghana,18+  years,Male,23.4 [22.5-24.4],23.4,22.5,24.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Indonesia,18+  years,Female,23.4 [22.4-24.4],23.4,22.4,24.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Japan,18+  years,Male,23.5 [23.1-23.8],23.5,23.1,23.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Haiti,18+  years,Female,23.5 [22.7-24.3],23.5,22.7,24.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,United Republic of Tanzania,18+  years,Female,23.5 [23-24],23.5,23,24,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,China,18+  years,Male,23.6 [23.2-24],23.6,23.2,24,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Kenya,18+  years,Female,23.6 [22.8-24.4],23.6,22.8,24.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Japan,18+  years,Male,23.6 [23-24.2],23.6,23,24.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Sierra Leone,18+  years,Female,23.6 [22.9-24.4],23.6,22.9,24.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Nigeria,18+  years,Female,23.7 [23.2-24.2],23.7,23.2,24.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Liberia,18+  years,Both sexes,23.7 [23.2-24.2],23.7,23.2,24.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,South Sudan,18+  years,Male,23.7 [22.5-24.8],23.7,22.5,24.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Sudan,18+  years,Male,23.7 [22.5-24.8],23.7,22.5,24.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Senegal,18+  years,Female,23.8 [23.1-24.5],23.8,23.1,24.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Ghana,18+  years,Both sexes,23.8 [23.4-24.3],23.8,23.4,24.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Thailand,18+  years,Both sexes,23.8 [23.3-24.2],23.8,23.3,24.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Switzerland,18+  years,Female,23.9 [22.7-25],23.9,22.7,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Republic of Korea,18+  years,Male,24 [23.6-24.4],24,23.6,24.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Pakistan,18+  years,Female,24 [23.4-24.5],24,23.4,24.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Haiti,18+  years,Female,24 [23-24.9],24,23,24.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Liberia,18+  years,Both sexes,24 [23.5-24.6],24,23.5,24.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Singapore,18+  years,Male,24.1 [23.6-24.5],24.1,23.6,24.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Angola,18+  years,Female,24.1 [21.1-27.1],24.1,21.1,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Comoros,18+  years,Both sexes,24.1 [23.5-24.7],24.1,23.5,24.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Thailand,18+  years,Both sexes,24.1 [23.4-24.7],24.1,23.4,24.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Bhutan,18+  years,Female,24.2 [23.4-25.1],24.2,23.4,25.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Gabon,18+  years,Male,24.3 [22.9-25.7],24.3,22.9,25.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Benin,18+  years,Female,24.3 [23.5-25],24.3,23.5,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Solomon Islands,18+  years,Male,24.5 [23.6-25.4],24.5,23.6,25.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Croatia,18+  years,Female,24.5 [23-26.1],24.5,23,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Denmark,18+  years,Female,24.5 [23.5-25.5],24.5,23.5,25.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Malaysia,18+  years,Male,24.6 [24.1-25.1],24.6,24.1,25.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Angola,18+  years,Female,24.6 [21.5-27.8],24.6,21.5,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Belgium,18+  years,Female,24.7 [23.1-26.2],24.7,23.1,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Grenada,18+  years,Male,24.8 [23.9-25.6],24.8,23.9,25.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Zimbabwe,18+  years,Female,24.8 [24.2-25.5],24.8,24.2,25.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Maldives,18+  years,Both sexes,24.8 [24.2-25.3],24.8,24.2,25.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,South Sudan,18+  years,Both sexes,24.9 [24.2-25.6],24.9,24.2,25.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Papua New Guinea,18+  years,Both sexes,25 [24.3-25.7],25,24.3,25.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Latvia,18+  years,Female,25.1 [23.6-26.6],25.1,23.6,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Denmark,18+  years,Both sexes,25.1 [24.6-25.6],25.1,24.6,25.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Ghana,18+  years,Female,25.1 [24.2-25.9],25.1,24.2,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Latvia,18+  years,Female,25.1 [23.2-26.9],25.1,23.2,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Bulgaria,18+  years,Female,25.2 [24.1-26.4],25.2,24.1,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Hungary,18+  years,Female,25.2 [23.6-26.9],25.2,23.6,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Sudan,18+  years,Both sexes,25.2 [24.4-26.1],25.2,24.4,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Paraguay,18+  years,Male,25.3 [22.9-27.6],25.3,22.9,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Mauritius,18+  years,Both sexes,25.3 [24.7-25.8],25.3,24.7,25.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Iran (Islamic Republic of),18+  years,Male,25.3 [24.7-25.9],25.3,24.7,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,France,18+  years,Both sexes,25.3 [24.5-26],25.3,24.5,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Belgium,18+  years,Both sexes,25.4 [24.6-26.2],25.4,24.6,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Estonia,18+  years,Both sexes,25.4 [24.5-26.3],25.4,24.5,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Paraguay,18+  years,Both sexes,25.4 [23.6-27.2],25.4,23.6,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Netherlands,18+  years,Both sexes,25.4 [24.7-26.1],25.4,24.7,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Tajikistan,18+  years,Male,25.5 [23-28],25.5,23,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Montenegro,18+  years,Female,25.5 [22.3-28.6],25.5,22.3,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Belgium,18+  years,Both sexes,25.5 [24.5-26.4],25.5,24.5,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Equatorial Guinea,18+  years,Female,25.6 [22.4-28.8],25.6,22.4,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Sweden,18+  years,Both sexes,25.6 [25.1-26.1],25.6,25.1,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Cuba,18+  years,Male,25.6 [24.2-27],25.6,24.2,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Kyrgyzstan,18+  years,Male,25.6 [24.8-26.4],25.6,24.8,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Paraguay,18+  years,Male,25.6 [23.1-28],25.6,23.1,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Sao Tome and Principe,18+  years,Female,25.6 [24.7-26.5],25.6,24.7,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Russian Federation,18+  years,Male,25.7 [25.1-26.3],25.7,25.1,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,The former Yugoslav republic of Macedonia,18+  years,Both sexes,25.7 [24.4-27.1],25.7,24.4,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Peru,18+  years,Male,25.7 [24.8-26.7],25.7,24.8,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Slovakia,18+  years,Female,25.7 [24.7-26.7],25.7,24.7,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Turkmenistan,18+  years,Male,25.8 [25-26.6],25.8,25,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Brunei Darussalam,18+  years,Male,25.8 [23.3-28.3],25.8,23.3,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Guatemala,18+  years,Male,25.8 [24.4-27.3],25.8,24.4,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Azerbaijan,18+  years,Male,25.9 [25-26.8],25.9,25,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Fiji,18+  years,Male,25.9 [25.3-26.5],25.9,25.3,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Finland,18+  years,Both sexes,25.9 [25.6-26.2],25.9,25.6,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Peru,18+  years,Both sexes,25.9 [25.5-26.3],25.9,25.5,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Suriname,18+  years,Male,26 [23.7-28.3],26,23.7,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Spain,18+  years,Female,26 [25.4-26.6],26,25.4,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Tunisia,18+  years,Male,26 [24.9-27.3],26,24.9,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Czech Republic,18+  years,Female,26.1 [25.3-26.9],26.1,25.3,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Israel,18+  years,Female,26.1 [25.3-26.9],26.1,25.3,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Fiji,18+  years,Male,26.1 [25.3-26.9],26.1,25.3,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,France,18+  years,Male,26.1 [25.1-27.1],26.1,25.1,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Croatia,18+  years,Male,26.2 [24.9-27.5],26.2,24.9,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Montenegro,18+  years,Male,26.2 [23.9-28.6],26.2,23.9,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Serbia,18+  years,Male,26.2 [25.7-26.8],26.2,25.7,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Uruguay,18+  years,Male,26.3 [25.3-27.3],26.3,25.3,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Tunisia,18+  years,Both sexes,26.3 [25.6-27],26.3,25.6,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Grenada,18+  years,Both sexes,26.4 [25.8-27.1],26.4,25.8,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Ecuador,18+  years,Male,26.4 [25.5-27.2],26.4,25.5,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Serbia,18+  years,Male,26.4 [25.7-27.1],26.4,25.7,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,The former Yugoslav republic of Macedonia,18+  years,Male,26.4 [23.9-28.8],26.4,23.9,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Solomon Islands,18+  years,Female,26.4 [25.3-27.5],26.4,25.3,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Turkmenistan,18+  years,Female,26.4 [25.5-27.2],26.4,25.5,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Poland,18+  years,Both sexes,26.4 [25.6-27.2],26.4,25.6,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Oman,18+  years,Both sexes,26.5 [25.8-27.2],26.5,25.8,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Saint Vincent and the Grenadines,18+  years,Male,26.5 [24-28.9],26.5,24,28.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Suriname,18+  years,Male,26.5 [24.1-29],26.5,24.1,29,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Colombia,18+  years,Female,26.5 [25.6-27.3],26.5,25.6,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Guatemala,18+  years,Both sexes,26.5 [25.6-27.4],26.5,25.6,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Belarus,18+  years,Male,26.6 [24.2-29],26.6,24.2,29,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Nicaragua,18+  years,Both sexes,26.6 [25.7-27.4],26.6,25.7,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Brunei Darussalam,18+  years,Female,26.6 [23.4-29.7],26.6,23.4,29.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Belarus,18+  years,Both sexes,26.6 [24.6-28.8],26.6,24.6,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Russian Federation,18+  years,Female,26.7 [26.1-27.3],26.7,26.1,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Azerbaijan,18+  years,Both sexes,26.7 [26.1-27.4],26.7,26.1,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Bolivia (Plurinational State of),18+  years,Female,26.8 [26-27.7],26.8,26,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Kyrgyzstan,18+  years,Female,26.8 [26.1-27.5],26.8,26.1,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Russian Federation,18+  years,Female,26.8 [25.9-27.8],26.8,25.9,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Venezuela (Bolivarian Republic of),18+  years,Female,26.9 [26-27.8],26.9,26,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Republic of Moldova,18+  years,Female,27 [26.2-27.6],27,26.2,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Guyana,18+  years,Female,27.1 [26-28.1],27.1,26,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Belarus,18+  years,Male,27.1 [24.6-29.5],27.1,24.6,29.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Andorra,18+  years,Female,27.1 [24.1-30.2],27.1,24.1,30.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Costa Rica,18+  years,Female,27.1 [26.2-27.9],27.1,26.2,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,United Kingdom of Great Britain and Northern Ireland,18+  years,Female,27.1 [26.7-27.6],27.1,26.7,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Venezuela (Bolivarian Republic of),18+  years,Female,27.1 [26-28.3],27.1,26,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Panama,18+  years,Female,27.2 [26-28.4],27.2,26,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Argentina,18+  years,Both sexes,27.2 [26.5-28],27.2,26.5,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Australia,18+  years,Both sexes,27.2 [26.7-27.6],27.2,26.7,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Greece,18+  years,Male,27.3 [26.4-28.3],27.3,26.4,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Andorra,18+  years,Both sexes,27.3 [25.5-29.3],27.3,25.5,29.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Greece,18+  years,Both sexes,27.3 [26.5-28],27.3,26.5,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Antigua and Barbuda,18+  years,Male,27.3 [24.9-29.8],27.3,24.9,29.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Lithuania,18+  years,Male,27.3 [25.9-28.6],27.3,25.9,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Argentina,18+  years,Male,27.4 [26.3-28.4],27.4,26.3,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Kazakhstan,18+  years,Male,27.4 [25.4-29.4],27.4,25.4,29.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Slovakia,18+  years,Male,27.4 [26.5-28.3],27.4,26.5,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Jamaica,18+  years,Both sexes,27.4 [26.6-28.2],27.4,26.6,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Kazakhstan,18+  years,Female,27.5 [25.7-29.2],27.5,25.7,29.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Saint Vincent and the Grenadines,18+  years,Female,27.6 [24.7-30.5],27.6,24.7,30.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Australia,18+  years,Male,27.6 [27-28.1],27.6,27,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Guyana,18+  years,Female,27.6 [26.4-28.8],27.6,26.4,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Lebanon,18+  years,Female,27.6 [26.5-28.6],27.6,26.5,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Syrian Arab Republic,18+  years,Both sexes,27.7 [27-28.5],27.7,27,28.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Ecuador,18+  years,Female,27.7 [26.7-28.6],27.7,26.7,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Jordan,18+  years,Male,27.8 [27.1-28.4],27.8,27.1,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Czech Republic,18+  years,Male,27.8 [26.9-28.8],27.8,26.9,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Micronesia (Federated States of),18+  years,Male,27.8 [26.9-28.7],27.8,26.9,28.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,New Zealand,18+  years,Female,27.8 [27.2-28.3],27.8,27.2,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Antigua and Barbuda,18+  years,Both sexes,27.9 [26-29.7],27.9,26,29.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Lebanon,18+  years,Male,28 [27-28.9],28,27,28.9,
