"Data Source","World Development Indicators",

"Last Updated Date","2016-10-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Central African Republic","CAF","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","411.97943299349","","","","","","",
"Canada","CAN","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","12459.4499764949","12982.8288403544","13653.6795673292","14328.0635134734","14776.6934709212","15053.5301890992","15617.5353049529","15864.0455332502","16174.1984714315","16380.1376579461","16445.7409413053","16437.4479396912","15817.5582720467","16054.1268440123","16514.4026102318","17172.639221275","17591.231390395","18045.5461777484","18558.5683324738","18859.0308715366","18836.218047571","18371.3767006923","18425.2000388191","18560.367267989","18912.6282922486","19176.5901564005","19532.7839005691","20273.996074085","20650.8741980377","21288.0497964464","21957.4803330978","22267.8828620026","22949.490574993","23347.5238172146","23817.0959935408","24510.0291030152","25329.8541974651","26185.4524699911","26670.0075901043","26374.4266639946","27013.693148725","27361.1069604059","27557.0726533156","27893.5095209067","28287.5037498792","28571.9676289847","",
"Central Europe and the Baltics","CEB","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3795.71280651257","3521.87965638261","3590.2890498887","3721.09931586504","3833.53345431821","3950.02185030713","4210.0060471228","4364.39865807799","4537.82039101393","4691.51023512301","4855.11327599311","5073.05827792129","5348.41653790096","5606.96568230699","5943.65456432181","6230.95369869084","6612.15613892644","7125.09530079374","7434.37657200626","7236.2855235408","7332.9339537724","7483.27500422772","7514.02639166841","7551.38297639351","7746.0592065994","8010.61540288966","",
"Switzerland","CHE","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","26981.0444717831","28117.6686659692","29421.3773558358","30011.2155171125","29704.9033168922","28849.1987555017","29323.9482864551","30315.0751846269","30985.299043665","31317.1758918928","32012.5761117143","32144.5271776834","32037.8257970443","32302.1996583122","32707.70894884","33259.1101760753","34013.4029059176","34812.2464378496","35294.945399608","35895.7080693329","36089.3227964961","36289.9131421586","36060.3387034945","35600.6631863917","35748.6796925344","35824.0100660517","36052.4240919967","36547.9246690351","37227.7988734929","37800.6603899834","38253.4970475112","38821.8535938823","38657.0452122563","38534.9681536955","38965.3348293766","39289.1052662989","39621.6813038903","40185.2263783321","40278.0335326547","40277.4009204433","40510.7871827906","40390.2993370084","41060.4990579914","41496.7736571244","41530.8987053483","41473.7203290565","",
"Channel Islands","CHI","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","1809.92333535168","1998.88662419583","1788.61483053528","1790.08851858588","2075.9743136224","2075.45113076379","2777.62897918734","2597.06390385005","2647.03952962687","2779.01072737004","2738.72191384821","3021.75085077903","3088.19497092642","2791.79765118739","2884.75764404884","1871.02447587348","1998.38968340227","2306.53639041507","2498.12336793695","2818.90477750886","2827.18324012458","3158.99475255399","2554.27653778827","2358.60745200183","2442.96384685419","2381.60630977301","2463.704320663","2598.8471476264","2735.79411360769","2963.95754673753","2979.8963768944","3192.50189909027","3575.75160730508","3782.33362553122","4030.36162217446","4361.77711504747","4677.00598643528","4917.62049288966","5079.62732408582","4966.80677050982","5322.07930506671","5386.485629631","5447.19006674313","5578.36014766917","5836.88564417068","6180.71429676259","6335.98639970203","6744.78458506945","7016.05646107953","6884.80290272363","7547.04557632175","8126.16117408787","8526.57189478941","8897.14807198402","9012.64169783603","9049.08776124229","",
"China","CHN","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","209.070865807156","215.156502236835","228.964471946586","240.564378794096","252.612919960164","272.657099249908","297.750429577348","338.740958809734","347.047771091877","369.659736033549","397.299442139194","394.484667085766","394.392584796947","410.380802330509","459.968698574123","502.995235174021","523.92193132645","575.500151077444","624.047404273992","645.624273231403","679.686825156637","730.313076139485","780.702938456026","819.597501545326","867.606126777288","918.108751117471","978.967511121613","1035.12853293355","1120.16079960603","1230.74882866147","1325.64274847663","1443.6547379996","1554.19969637791","1717.18574103706","1851.99402788521","1981.76219121632","2151.83150634066","","",
"Cote d'Ivoire","CIV","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","798.295511815852","810.583464213681","829.160114967014","763.625941029402","830.989919949487","871.8370595541","931.026726751633","1091.29130293825","",
"Cameroon","CMR","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","704.943954617117","699.719700748562","706.178324109203","710.204933412409","713.564501186885","693.2184694785","695.422009265292","587.317676921207","635.730577094165","630.653690810618","622.635270745614","662.756314528691","635.481566816433","615.165109069339","654.63183718499","745.363743788312","672.35145850927","782.506244078168","844.924572442725","882.409777418691","734.725401378468","845.787688760044","935.826217405207","901.329987941775","879.842411464347","903.225734955011","1087.29355708796","1103.04610505903","943.926120623641","793.838856382175","754.228545895088","714.710580949233","625.798814493553","705.822431822097","691.894512372159","683.373173559184","699.055023348133","723.559979463915","735.259120554624","746.608147362947","756.078473811471","763.189539152247","775.346424384615","800.828216954976","805.402121552597","809.588198032436","818.713094644015","835.073312555977","840.087254697651","844.294017434106","860.581224449745","883.799207415697","908.632545534276","934.861113748768","963.824817694597","1008.8841335047","",
"Congo, Rep.","COG","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","709.772730951273","684.759850390865","610.731999392241","541.488034777252","536.720556961214","523.783700945339","467.553348746113","434.621067941331","479.344565367295","522.719434815696","533.938001961209","511.79388470118","492.176452425948","468.217973693164","438.299537891524","432.078320920579","495.269557391637","419.019860705194","458.411095837386","393.447418481979","459.114282208918","532.562430617734","761.196382746265","613.079601382309","638.418013677529","644.165092325734","583.826621386598","575.57388156551","562.199426603425","549.5856496133","499.47964778419","561.287093932524","423.675972617412","469.935774010792","546.039186030885","631.660403414513","702.762755134923","675.817084477204","369.572700453922","692.946473572582","658.644743960708","788.090382988637","569.557040072163","621.254701698032","651.556307993024","736.717863109199","747.435475061741","798.800505285863","943.820087284835","976.234519183839","1140.37015431807","1017.61276627906","731.339783789652","933.658822592663","827.572971933974","866.611271751151","",
"Colombia","COL","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","1538.60390932704","1595.40767459669","1668.39281992179","1697.5797085369","1809.44917511833","1718.85054694461","1842.26204791802","1790.71857017296","1858.01363682373","1949.16870189051","2048.66445320047","2130.01812346023","2238.28340588534","2306.18350631995","2340.10862763749","2355.80504581532","2463.57196533283","2505.90405944527","2654.63603320688","2706.4476362397","2762.57616623499","2779.07417439861","2757.2183581136","2708.00336245919","2724.32312972732","2716.3020180752","2746.02470221591","2798.25803023889","2839.04178487565","2874.29573896753","2894.41750467189","2901.9733359163","2929.69057325358","3223.89072531347","3168.43396801715","3273.35849758635","3255.41530481933","3280.44156193243","3203.56421161405","2983.03321390795","3101.88118385336","3105.0157746649","3122.13687845694","3170.33170103604","3248.8429918924","3336.52292376769","3506.42030124069","3715.55144233551","3800.24315415582","3778.49422768782","3923.80200918416","4114.58615450909","4251.48624207585","4352.80199628483","4490.94886170052","4625.83949060134","",
